Time Step,Simulated Decay,Theoretical Decay
746,858,867.4361558525616
747,858,867.2708083226283
748,858,867.1054923106409
749,858,866.9402078105912
750,858,866.7749548164727
751,858,866.6097333222799
752,858,866.4445433220083
753,858,866.2793848096546
754,858,866.1142577792167
755,858,865.9491622246939
756,857,865.7840981400859
757,857,865.6190655193943
758,857,865.4540643566218
759,857,865.2890946457716
760,857,865.1241563808485
761,857,864.9592495558586
762,857,864.7943741648088
763,857,864.6295302017072
764,857,864.4647176605633
765,857,864.2999365353875
766,857,864.1351868201913
767,857,863.9704685089877
768,857,863.8057815957901
769,857,863.641126074614
770,857,863.4765019394756
771,856,863.3119091843918
772,855,863.1473478033812
773,855,862.9828177904635
774,855,862.8183191396594
775,855,862.6538518449906
776,855,862.4894159004805
777,855,862.3250113001528
778,855,862.1606380380331
779,855,861.9962961081477
780,855,861.8319855045241
781,854,861.667706221191
782,853,861.5034582521785
783,853,861.3392415915172
784,853,861.1750562332395
785,853,861.0109021713786
786,853,860.8467793999687
787,853,860.6826879130456
788,853,860.5186277046458
789,853,860.3545987688071
790,853,860.1906010995684
791,853,860.0266346909701
792,852,859.862699537053
793,852,859.6987956318596
794,852,859.5349229694334
795,852,859.3710815438192
796,852,859.2072713490622
797,852,859.04349237921
798,852,858.87974462831
799,852,858.7160280904118
800,852,858.5523427595655
801,852,858.3886886298225
802,852,858.2250656952353
803,852,858.0614739498578
804,852,857.8979133877448
805,852,857.7343840029521
806,851,857.5708857895369
807,851,857.4074187415573
808,851,857.2439828530728
809,851,857.0805781181439
810,851,856.9172045308321
811,850,856.7538620852004
812,850,856.5905507753122
813,850,856.427270595233
814,850,856.2640215390288
815,850,856.1008036007668
816,850,855.9376167745155
817,850,855.7744610543444
818,849,855.6113364343242
819,849,855.4482429085266
820,849,855.2851804710247
821,849,855.1221491158925
822,849,854.959148837205
823,849,854.7961796290389
824,848,854.6332414854712
825,848,854.470334400581
826,848,854.3074583684474
827,848,854.1446133831519
828,848,853.9817994387759
829,848,853.8190165294027
830,848,853.6562646491167
831,847,853.4935437920029
832,847,853.3308539521481
833,847,853.1681951236397
834,847,853.0055673005666
835,847,852.8429704770184
836,847,852.6804046470863
837,847,852.5178698048625
838,847,852.3553659444399
839,847,852.192893059913
840,846,852.0304511453775
841,845,851.8680401949297
842,845,851.7056602026674
843,845,851.5433111626897
844,845,851.3809930690965
845,845,851.2187059159887
846,845,851.0564496974687
847,845,850.8942244076399
848,845,850.7320300406066
849,845,850.5698665904746
850,845,850.4077340513506
851,845,850.2456324173424
852,845,850.0835616825591
853,844,849.9215218411106
854,844,849.7595128871081
855,844,849.5975348146643
856,844,849.4355876178925
857,844,849.2736712909069
858,844,849.1117858278237
859,844,848.9499312227598
860,844,848.7881074698327
861,844,848.6263145631618
862,844,848.4645524968672
863,844,848.3028212650703
864,844,848.1411208618935
865,844,847.9794512814601
866,844,847.8178125178953
867,844,847.6562045653245
868,844,847.4946274178748
869,844,847.3330810696741
870,844,847.1715655148516
871,844,847.0100807475377
872,844,846.8486267618637
873,844,846.6872035519622
874,844,846.5258111119667
875,844,846.364449436012
876,844,846.203118518234
877,844,846.0418183527696
878,844,845.8805489337569
879,844,845.7193102553355
880,844,845.5581023116451
881,844,845.3969250968279
882,843,845.2357786050258
883,843,845.0746628303827
884,843,844.9135777670436
885,842,844.7525234091544
886,842,844.5914997508619
887,842,844.4305067863144
888,842,844.2695445096612
889,842,844.1086129150526
890,842,843.9477119966401
891,841,843.7868417485763
892,841,843.6260021650152
893,841,843.4651932401113
894,841,843.3044149680206
895,841,843.1436673429005
896,841,842.9829503589087
897,840,842.8222640102049
898,840,842.6616082909493
899,840,842.5009831953034
900,840,842.3403887174301
901,840,842.1798248514929
902,840,842.0192915916567
903,840,841.8587889320876
904,840,841.6983168669525
905,840,841.5378753904197
906,839,841.3774644966585
907,839,841.2170841798394
908,839,841.0567344341339
909,839,840.8964152537145
910,837,840.7361266327553
911,837,840.5758685654306
912,837,840.4156410459169
913,837,840.2554440683912
914,837,840.0952776270315
915,836,839.9351417160173
916,836,839.7750363295288
917,836,839.6149614617476
918,836,839.4549171068564
919,836,839.2949032590391
920,836,839.1349199124802
921,836,838.974967061366
922,836,838.8150446998833
923,836,838.6551528222204
924,836,838.4952914225667
925,836,838.3354604951123
926,836,838.1756600340489
927,836,838.015890033569
928,836,837.8561504878666
929,836,837.6964413911362
930,836,837.5367627375737
931,836,837.3771145213764
932,835,837.2174967367424
933,835,837.0579093778707
934,835,836.8983524389619
935,835,836.7388259142174
936,835,836.5793297978396
937,835,836.4198640840323
938,835,836.2604287670002
939,835,836.1010238409494
940,835,835.9416493000867
941,835,835.7823051386201
942,835,835.6229913507591
943,834,835.4637079307137
944,834,835.3044548726954
945,834,835.1452321709166
946,834,834.986039819591
947,834,834.8268778129334
948,834,834.6677461451595
949,834,834.5086448104862
950,833,834.3495738031315
951,833,834.1905331173147
952,833,834.0315227472556
953,833,833.8725426871761
954,833,833.7135929312982
955,833,833.5546734738455
956,833,833.3957843090426
957,833,833.2369254311154
958,833,833.0780968342906
959,833,832.9192985127961
960,833,832.760530460861
961,833,832.6017926727154
962,833,832.4430851425905
963,832,832.2844078647187
964,832,832.1257608333332
965,832,831.9671440426689
966,832,831.8085574869611
967,832,831.6500011604468
968,831,831.4914750573635
969,831,831.3329791719502
970,831,831.1745134984471
971,831,831.0160780310954
972,831,830.857672764137
973,831,830.6992976918152
974,830,830.5409528083746
975,830,830.3826381080606
976,830,830.2243535851202
977,830,830.0660992338004
978,830,829.9078750483504
979,830,829.7496810230201
980,829,829.5915171520605
981,829,829.4333834297234
982,829,829.2752798502623
983,828,829.1172064079315
984,828,828.9591630969861
985,827,828.8011499116827
986,826,828.643166846279
987,826,828.4852138950332
988,826,828.3272910522056
989,826,828.1693983120568
990,826,828.0115356688486
991,826,827.8537031168444
992,826,827.6959006503079
993,826,827.5381282635045
994,826,827.3803859507007
995,826,827.2226737061635
996,825,827.0649915241618
997,825,826.9073393989648
998,825,826.7497173248436
999,825,826.5921252960698
1000,825,826.434563306916
1001,825,826.2770313516565
1002,825,826.1195294245664
1003,825,825.9620575199215
1004,825,825.8046156319991
1005,824,825.6472037550778
1006,824,825.4898218834368
1007,824,825.3324700113566
1008,823,825.1751481331189
1009,823,825.0178562430062
1010,823,824.8605943353026
1011,822,824.7033624042925
1012,821,824.5461604442622
1013,821,824.3889884494987
1014,821,824.2318464142901
1015,821,824.0747343329255
1016,821,823.9176521996952
1017,820,823.7606000088908
1018,820,823.6035777548047
1019,820,823.4465854317305
1020,820,823.2896230339627
1021,820,823.1326905557972
1022,820,822.9757879915308
1023,820,822.8189153354614
1024,820,822.662072581888
1025,820,822.5052597251107
1026,820,822.3484767594307
1027,820,822.1917236791503
1028,820,822.0350004785727
1029,820,821.8783071520025
1030,819,821.7216436937452
1031,818,821.5650100981075
1032,818,821.4084063593968
1033,818,821.2518324719222
1034,818,821.0952884299934
1035,817,820.9387742279214
1036,817,820.7822898600181
1037,817,820.6258353205968
1038,817,820.4694106039717
1039,817,820.313015704458
1040,817,820.1566506163721
1041,817,820.0003153340314
1042,816,819.8440098517545
1043,816,819.6877341638611
1044,816,819.5314882646717
1045,816,819.3752721485082
1046,816,819.2190858096936
1047,816,819.0629292425515
1048,815,818.9068024414073
1049,815,818.7507054005869
1050,814,818.5946381144176
1051,813,818.4386005772276
1052,813,818.2825927833463
1053,813,818.1266147271041
1054,813,817.9706664028326
1055,813,817.8147478048644
1056,813,817.658858927533
1057,811,817.5029997651733
1058,810,817.3471703121211
1059,810,817.1913705627135
1060,810,817.0356005112882
1061,810,816.8798601521845
1062,810,816.7241494797424
1063,810,816.5684684883033
1064,809,816.4128171722093
1065,809,816.2571955258041
1066,809,816.101603543432
1067,808,815.9460412194385
1068,808,815.7905085481701
1069,808,815.635005523975
1070,808,815.4795321412014
1071,808,815.3240883941995
1072,808,815.1686742773202
1073,808,815.0132897849154
1074,808,814.8579349113382
1075,808,814.7026096509431
1076,807,814.5473139980849
1077,807,814.3920479471201
1078,806,814.2368114924061
1079,806,814.0816046283013
1080,806,813.9264273491654
1081,806,813.7712796493588
1082,805,813.6161615232435
1083,805,813.4610729651819
1084,805,813.3060139695381
1085,804,813.150984530677
1086,802,812.9959846429645
1087,802,812.8410143007677
1088,802,812.6860734984548
1089,802,812.5311622303949
1090,802,812.3762804909585
1091,802,812.2214282745166
1092,802,812.0666055754419
1093,802,811.911812388108
1094,802,811.7570487068892
1095,802,811.6023145261615
1096,802,811.4476098403012
1097,802,811.2929346436863
1098,802,811.1382889306958
1099,802,810.9836726957095
1100,802,810.8290859331084
1101,802,810.6745286372746
1102,802,810.5200008025912
1103,802,810.3655024234426
1104,802,810.2110334942139
1105,802,810.0565940092915
1106,801,809.902183963063
1107,801,809.7478033499166
1108,801,809.5934521642422
1109,800,809.4391304004301
1110,800,809.2848380528725
1111,799,809.1305751159615
1112,799,808.9763415840916
1113,799,808.8221374516573
1114,799,808.6679627130549
1115,799,808.5138173626812
1116,799,808.3597013949343
1117,799,808.2056148042136
1118,799,808.0515575849194
1119,799,807.8975297314526
1120,799,807.7435312382161
1121,799,807.589562099613
1122,799,807.435622310048
1123,799,807.2817118639266
1124,799,807.1278307556556
1125,799,806.9739789796427
1126,799,806.8201565302965
1127,799,806.666363402027
1128,799,806.5125995892452
1129,799,806.3588650863629
1130,799,806.2051598877933
1131,799,806.0514839879504
1132,799,805.8978373812496
1133,798,805.7442200621069
1134,798,805.5906320249396
1135,798,805.4370732641663
1136,798,805.2835437742065
1137,798,805.1300435494803
1138,798,804.9765725844096
1139,798,804.823130873417
1140,798,804.669718410926
1141,798,804.5163351913615
1142,798,804.3629812091493
1143,797,804.2096564587164
1144,797,804.0563609344905
1145,797,803.9030946309007
1146,797,803.7498575423773
1147,797,803.5966496633511
1148,796,803.4434709882544
1149,796,803.2903215115205
1150,796,803.1372012275837
1151,796,802.9841101308793
1152,796,802.8310482158439
